<<<<<<< HEAD
"","density","alcohol","citric.acid","residual.sugar","pH","type","quality"
"1",3.41006362058991,2.04347826086957,2.95180722891566,3.77453987730061,2.95348837209302,"white","3"
"2",2.1954887218045,2.95652173913043,2.8433734939759,1.13803680981595,5.04651162790698,"white","3"
"3",2.38635049161364,3.73913043478261,3.16867469879518,1.86963190184049,4.76744186046511,"white","3"
"4",2.47310584152689,3.47826086956522,2.73493975903614,2.09049079754601,4.27906976744186,"white","3"
"5",2.47310584152689,3.47826086956522,2.73493975903614,2.09049079754601,4.27906976744186,"white","3"
"6",2.38635049161364,3.73913043478261,3.16867469879518,1.86963190184049,4.76744186046511,"white","3"
"7",2.35164835164835,3.08695652173913,1.86746987951807,1.88343558282209,4.2093023255814,"white","3"
"8",3.41006362058991,2.04347826086957,2.95180722891566,3.77453987730061,2.95348837209302,"white","3"
"9",2.1954887218045,2.95652173913043,2.8433734939759,1.13803680981595,5.04651162790698,"white","3"
"10",2.16078658183921,4.91304347826087,3.33132530120482,1.12423312883436,4.48837209302326,"white","3"
"11",1.64025448235974,6.21739130434783,3.22289156626506,1.11733128834356,2.88372093023256,"white","2"
"12",2.31694621168305,3.21739130434782,3.16867469879518,1.49693251533742,3.93023255813954,"white","2"
"13",1.84846732215152,4.65217391304348,3.00602409638554,1.08282208588957,4.2093023255814,"white","2"
"14",1.70965876229033,6.73913043478261,3.16867469879518,1.12423312883436,6.72093023255814,"white","4"
"15",3.27125506072873,3.21739130434782,4.36144578313253,3.57438650306748,2.81395348837209,"white","2"
"16",1.74436090225562,5.43478260869565,3.06024096385542,1.12423312883436,4.69767441860465,"white","4"
"17",1.98727588201272,3.08695652173913,1.21686746987952,1.06901840490798,4.62790697674419,"white","3"
"18",1.36263736263735,7.26086956521739,3.60240963855422,1.08282208588957,5.25581395348837,"white","5"
"19",1.79641411220358,5.30434782608696,3.27710843373494,1.06901840490798,3.7906976744186,"white","3"
"20",2.45575477154425,2.95652173913043,1.75903614457831,1.95245398773006,4.48837209302326,"white","2"
"21",1.36263736263735,7.26086956521739,3.60240963855422,1.08282208588957,5.25581395348837,"white","5"
"22",1.70965876229033,4.91304347826087,3.06024096385542,1.31748466257669,4.13953488372093,"white","4"
"23",2.02197802197801,4.26086956521739,3.27710843373494,1.15184049079755,6.23255813953489,"white","5"
"24",2.14343551185656,2.69565217391304,1.75903614457831,1.12423312883436,3.30232558139535,"white","2"
"25",2.38635049161364,3.60869565217391,3.22289156626506,1.09662576687117,5.88372093023256,"white","3"
"26",2.45575477154425,4.1304347826087,2.73493975903614,2.15950920245399,4.69767441860465,"white","3"
"27",2.02197802197801,3.60869565217391,2.89759036144578,1.05521472392638,6.09302325581396,"white","3"
"28",2.55986119144013,4.26086956521739,3.1144578313253,2.1180981595092,5.6046511627907,"white","3"
"29",1.74436090225562,5.69565217391304,3.60240963855422,1.06901840490798,4.27906976744186,"white","3"
"30",1.60555234239445,6.60869565217391,2.95180722891566,1.19325153374233,3.65116279069767,"white","4"
"31",2.78542510121456,3.60869565217391,3.1144578313253,2.35276073619632,4.34883720930233,"white","3"
"32",2.0913823019086,3.8695652173913,2.8433734939759,1.06901840490798,6.23255813953489,"white","3"
"33",1.84846732215152,4.65217391304348,2.95180722891566,1.20015337423313,4.27906976744186,"white","3"
"34",2.17813765182186,2.30434782608696,2.8433734939759,1.12423312883436,5.88372093023256,"white","3"
"35",2.57721226142278,3.8695652173913,2.08433734939759,2.9808282208589,5.53488372093023,"white","2"
"36",1.5882012724118,7.26086956521739,3.33132530120482,1.15184049079755,4.27906976744186,"white","2"
"37",2.0913823019086,3.60869565217391,2.24698795180723,1.66257668711656,4.62790697674419,"white","2"
"38",1.60555234239445,5.17391304347826,2.73493975903614,1.08282208588957,3.86046511627907,"white","3"
"39",3.21920185078079,1.78260869565217,3.1144578313253,3.39493865030675,4.41860465116279,"white","2"
"40",3.21920185078079,1.78260869565217,3.1144578313253,3.39493865030675,4.41860465116279,"white","2"
"41",2.14343551185656,2.82608695652174,3.1144578313253,1.26226993865031,3.72093023255814,"white","3"
"42",2.14343551185656,2.82608695652174,3.1144578313253,1.31748466257669,3.65116279069767,"white","3"
